,step,train_error,validation_error
0,0,0.75,0.75
1,20,0.6666666865348816,0.5
2,40,0.8333333134651184,0.75
3,60,0.8333333134651184,0.5
4,80,0.5,0.75
5,100,0.8333333134651184,0.5833333134651184
6,120,0.6666666865348816,0.75
7,140,0.6666666865348816,0.8333333134651184
8,160,0.4166666567325592,0.6666666865348816
9,180,0.6666666865348816,0.8333333134651184
10,200,0.5833333134651184,0.75
11,220,0.5,0.8333333134651184
12,240,0.5,0.75
13,260,0.6666666865348816,0.8333333134651184
14,280,0.8333333134651184,0.6666666865348816
15,300,0.5833333134651184,0.6666666865348816
16,320,0.5833333134651184,0.4166666567325592
17,340,0.5,0.6666666865348816
18,360,0.3333333432674408,0.9166666865348816
19,380,0.5,0.5
20,400,0.5,0.3333333432674408
21,420,0.25,0.9166666865348816
22,440,0.8333333134651184,0.75
23,460,0.3333333432674408,0.5833333134651184
24,480,1.0,0.9166666865348816
25,500,0.8333333134651184,0.8333333134651184
26,520,1.0,0.4166666567325592
27,540,0.4166666567325592,0.5
28,560,0.1666666716337204,0.6666666865348816
29,580,0.75,0.4166666567325592
30,600,0.6666666865348816,0.3333333432674408
31,620,0.75,0.9166666865348816
32,640,0.5,0.3333333432674408
33,660,0.6666666865348816,0.3333333432674408
34,680,0.4166666567325592,0.6666666865348816
35,700,0.25,0.8333333134651184
36,720,0.5833333134651184,0.6666666865348816
37,740,0.5833333134651184,0.5833333134651184
38,760,0.5,0.1666666716337204
39,780,0.4166666567325592,0.6666666865348816
40,800,0.25,0.4166666567325592
41,820,0.5,0.4166666567325592
42,840,0.5,0.8333333134651184
43,860,0.4166666567325592,0.3333333432674408
44,880,0.5,0.75
45,900,0.1666666716337204,0.3333333432674408
46,920,0.4166666567325592,0.4166666567325592
47,940,0.5,0.5833333134651184
48,960,0.5833333134651184,0.5833333134651184
49,980,0.25,0.3333333432674408
50,1000,0.5833333134651184,0.25
51,1020,0.5833333134651184,0.5
52,1040,0.8333333134651184,0.5
53,1060,0.3333333432674408,0.5833333134651184
54,1080,0.4166666567325592,0.5
55,1100,0.25,0.75
56,1120,0.3333333432674408,0.5
57,1140,0.1666666716337204,0.3333333432674408
58,1160,0.1666666716337204,0.5
59,1180,0.4166666567325592,0.5833333134651184
60,1200,0.75,0.5833333134651184
61,1220,0.4166666567325592,0.25
62,1240,0.25,0.25
63,1260,0.5,0.75
64,1280,0.6666666865348816,0.6666666865348816
65,1300,0.5833333134651184,0.8333333134651184
66,1320,0.25,0.3333333432674408
67,1340,0.5,0.3333333432674408
68,1360,0.75,0.75
69,1380,0.3333333432674408,0.3333333432674408
70,1400,0.3333333432674408,0.75
71,1420,0.9166666865348816,0.75
72,1440,0.25,0.5
73,1460,0.1666666716337204,0.1666666716337204
74,1480,0.4166666567325592,0.75
75,1500,0.5,0.3333333432674408
76,1520,0.4166666567325592,0.1666666716337204
77,1540,0.75,0.5833333134651184
78,1560,0.5833333134651184,0.75
79,1580,0.3333333432674408,0.5833333134651184
80,1600,0.0833333358168602,0.4166666567325592
81,1620,0.3333333432674408,0.3333333432674408
82,1640,0.4166666567325592,0.4166666567325592
83,1660,0.3333333432674408,0.3333333432674408
84,1680,0.25,0.5833333134651184
85,1700,0.3333333432674408,0.25
86,1720,0.1666666716337204,0.25
87,1740,0.3333333432674408,0.5
88,1760,0.4166666567325592,0.75
89,1780,0.5833333134651184,0.3333333432674408
90,1800,0.5833333134651184,0.6666666865348816
91,1820,0.25,0.25
92,1840,0.5,0.4166666567325592
93,1860,0.25,0.4166666567325592
94,1880,0.25,0.1666666716337204
95,1900,0.3333333432674408,0.5
96,1920,0.25,0.3333333432674408
97,1940,0.25,0.75
98,1960,0.4166666567325592,0.3333333432674408
99,1980,0.25,0.1666666716337204
100,2000,0.5,0.5833333134651184
101,2020,0.3333333432674408,0.3333333432674408
102,2040,0.25,0.4166666567325592
103,2060,0.1666666716337204,0.1666666716337204
104,2080,0.4166666567325592,0.5833333134651184
105,2100,0.1666666716337204,0.5833333134651184
106,2120,0.25,0.1666666716337204
107,2140,0.5,0.6666666865348816
108,2160,0.5833333134651184,0.6666666865348816
109,2180,0.5833333134651184,0.8333333134651184
110,2200,0.25,0.4166666567325592
111,2220,0.75,0.3333333432674408
112,2240,0.5833333134651184,0.4166666567325592
113,2260,0.4166666567325592,0.5
